Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       12     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >* std::__addressof<std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> > >(std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >&)
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<std::shared_ptr<User>*> std::__make_move_if_noexcept_iterator<std::shared_ptr<User>, std::move_iterator<std::shared_ptr<User>*> >(std::shared_ptr<User>*)
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<std::shared_ptr<Group>*> std::__make_move_if_noexcept_iterator<std::shared_ptr<Group>, std::move_iterator<std::shared_ptr<Group>*> >(std::shared_ptr<Group>*)
  0.00      0.00     0.00       12     0.00     0.00  std::shared_ptr<Group>&& std::forward<std::shared_ptr<Group> >(std::remove_reference<std::shared_ptr<Group> >::type&)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<User> >::max_size() const
  0.00      0.00     0.00       11     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       10     0.00     0.00  std::_Vector_base<std::shared_ptr<User>, std::allocator<std::shared_ptr<User> > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        9     0.00     0.00  Account::Account()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Transaction>::~new_allocator()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Group>::new_allocator(__gnu_cxx::new_allocator<Group> const&)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<Account>::new_allocator(__gnu_cxx::new_allocator<Account> const&)
